id,kitab,hasil_perawi,matan_inggris,terjemah,matan_indo
11,musnad_syafii,"['Yahya bin Abu Katsir', 'Abdullah bin Abu Qatadah']",", with similar editors or similar meanings.","Orang yang dapat dipercaya memberitahukan kepada kami, dari Yahya bin Abu Katsir dari Abdullah bin Abu Qatadah dari bapaknya dari Nabi shallallahu 'alaihi wa sallam, dengan redaksi semisalnya atau dengan makna semisalnya. ",", dengan editor serupa atau arti serupa."
12,musnad_syafii,['Sufyan'],Rasulullah shallallahu 'alaihi wa sallam once bathed from one vessel and I also bathed with him from one vessel.,"Sufyan mengabarkan kepada kami dari Az Zuhri dari Urwah dari Aisyah radliyallahu 'anha, bahwa

Rasulullah shallallahu 'alaihi wa sallam pernah mandi dari satu bejana dan aku juga pernah mandi bersama beliau dari satu wadah. ",Rasulullah Shallallahu 'alaihi wa sallam pernah mandi dari satu bejana dan saya pun mandi bersamanya dari satu bejana.
13,musnad_syafii,"['Malik', 'Ibn Umar']","""Indeed, men and women in the time of the Prophet sallallaahu 'alaihi wa sallam used to perform ablution together.""","Malik mengabarkan kepada kami dari Nafi, dari Ibnu Umar radliyallahu 'anhuma bahwa ia pernah berkata:

""Sesungguhnya para lelaki dan perempuan dahulu di zaman Nabi shallallahu 'alaihi wa sallam pernah berwdhu bersama-sama."" ",“Sesungguhnya laki-laki dan perempuan pada zaman Rasulullah Shallallahu ‘alaihi wa sallam biasa berwudhu bersama-sama.”
14,musnad_syafii,"['Malik', 'Hisham bin Urwah']","""I once bathed with the Prophet sallallaahu 'alaihi wa sallam from one container.""","Malik mengabarkan kepada kami dari Hisyam bin Urwah. dari ayahnya, dari Aisyah radliyallahu 'anha, ia berkata:

""Aku pernah mandi bersama Nabi shallallahu 'alaihi wa sallam dari satu wadah."" ",“Saya pernah mandi bersama Rasulullah Shallallahu ‘alaihi wa sallam dari satu wadah.”
15,musnad_syafii,"['Ibn Uyainah', 'Amr bin Dinar', 'Ibn Abbas', 'Maimunah']",He and the Prophet sallallaahu 'alaihi wa sallam once bathed from the same container.,"Ibnu Uyainah mengabarkan kepada kami dari Amr bin Dinar, dari Abu Asy Sya'tsa, dari Ibnu Abbas, dari Maimunah radliyallahu 'anha bahwa

Dia dan Nabi shallallahu 'alaihi wa sallam pernah mandi dari satu wadah. ",Beliau dan Rasulullah Shallallahu 'alaihi wa sallam pernah mandi dari wadah yang sama.
16,musnad_syafii,"['Sufyan', ""Mu'adzah Al Adawiyah""]","He said: ""I often bathed with the Prophet sallallaahu 'alaihi wa sallam from one container. And there were times when I said to him: 'Leave some for me, leave some for me'.""","Sufyan mengabarkan kepada kami, dari Asyim, dari Mu'adzah Al Adawiyah, dari Aisyah radliyallahu 'anha.

Ia berkata: ""Aku sering mandi bersama Nabi shallallahu 'alaihi wa sallam dari satu wadah. dan ada kalanya aku berkata kepada beliau: 'Sisakanlah untukku, sisakanlah untukku'."" ","Beliau berkata: “Aku sering mandi bersama Rasulullah Shallallahu ‘alaihi wa sallam dari satu wadah. Dan ada kalanya aku berkata kepadanya: ‘Tinggalkan sebagian untukku, sisakan sebagian untukku’.”"
17,musnad_syafii,"['Malik', 'Ibn Shihab', 'Ibn Abbas']","The Prophet sallallaahu 'alaihi wa sallam once came across the carcass of a goat given to him by Maimunah's servant girl, the wife of the Prophet sallallaahu 'alaihi wa sallam. Then he said (to his friends): ""Why don't you use the skin?"" They answered: ""O Messenger of Allah! Indeed, the goat has become a carcass."" The Prophet said: ""Indeed, what is forbidden is eating it.""","Malik mengabarkan kepada kami dari Ibnu Syihab, dari Ubaidullah, dari Ibnu Abbas radliyallahu 'anhuma, ia mengatakan:

Nabi shallallahu 'alaihi wa sallam pernah menjumpai bangkai seekor kambing yang diberikan oleh pelayan perempuan Maimunah, isteri Nabi shallallahu 'alaihi wa sallam. Lalu beliau bersabda (kepada para sahabat): ""Mengapa kalian tidak memanfaatkan kulitnya?"" Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing itu telah menjadi bangkai."" Nabi bersabda: ""Sesungguhnya yang diharamkan adalah memakannya."" ","Suatu ketika Nabi Shallallahu 'alaihi wa sallam menemukan bangkai seekor kambing pemberian gadis pelayan Maimunah, istri Nabi Shallallahu 'alaihi wa sallam. Lalu dia berkata (kepada teman-temannya): “Mengapa tidak menggunakan kulitnya?” Mereka menjawab: “Ya Rasulullah! Sesungguhnya kambing itu telah menjadi bangkai.” Nabi bersabda: “Sesungguhnya yang diharamkan adalah memakannya.”"
18,musnad_syafii,"['Ibn Uyainah', 'Ubaidullah bin Abdullah', 'Ibn Abbas']","""What would the owners of this goat carcass do if they tanned it and used it?"" They answered: ""O Messenger of Allah! In fact, this goat has become a carcass."" He said: ""Indeed, what is forbidden is only eating it.""","Ibnu Uyainah memberitahukan kepada kami dari Az-Zuhri, dari Ubaidullah bin Abdullah, dari Ibnu Abbas radliyallahu 'anhuma, dari Nabi shallallahu 'alaihi wa sallam:

""Apakah yang dilakukan oleh pemilik bangkai kambing ini, seandainya mereka menyamak dan memanfaatkannya?” Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing ini telah menjadi bangkai."" Beliau bersabda: ""Sesungguhnya yang diharamkan hanyalah memakannya."" ",“Apa yang akan dilakukan pemilik bangkai kambing ini jika mereka menyamak dan memanfaatkannya?” Mereka menjawab: “Ya Rasulullah! Sebenarnya kambing ini sudah menjadi bangkai.” Beliau bersabda: “Sesungguhnya yang diharamkan hanyalah memakannya.”
19,musnad_syafii,"['Sufyan bin Uyainah', 'Zaid bin Aslam', ""Ibn Wa'lah"", 'Ibn Abbas']","""When any skin is tanned, it becomes pure.""","Sufyan bin Uyainah mengabarkan kepada kami dari Zaid bin Aslam: ia pernah mendengar Ibnu Wa'lah, ia pernah mendengar dari Ibnu Abbas radliyallahu 'anhuma bahwa ia pernah mendengar Nabi shallallahu 'alaihi wa sallam bersabda:

""Kulit apapun apabila disamak, maka ia menjadi suci."" ","“Ketika kulit mana pun disamak, ia menjadi murni.”"
20,musnad_syafii,"['Malik', 'Zaid bin Aslam', ""Ibn Wa'lah"", 'Ibn Abbas']","""When the skin is tanned, it becomes pure.""","Malik mengabarkan kepada kami dari Zaid bin Aslam, dari Ibnu Wa'lah, dari Ibnu Abbas radliyallahu 'anhuma bahwa Nabi shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila kulit disamak, maka ia menjadi suci."" ",“Kulit yang disamak menjadi murni.”
21,musnad_syafii,"['Malik', 'Ibn Qusaith', 'Muhammad bin Abdurrahman bin Tsauban']",The Prophet sallallaahu 'alaihi wa sallam has ordered that the skin of a carcass be used when it has been tanned.,"Malik mengabarkan kepada kami dari Ibnu Qusaith, dari Muhammad bin Abdurrahman bin Tsauban, dari ibunya, dari Aisyah radliyallahu 'anha: Bahwa

Nabi shallallahu 'alaihi wa sallam telah memerintahkan agar kulit bangkai dimanfaatkan apabila telah disamak. ",Rasulullah Shallallahu 'alaihi wa sallam telah memerintahkan agar kulit bangkai digunakan bila sudah disamak.
22,musnad_syafii,"['Malik', 'Zaid bin Abdullah bin Umar', 'Abdullah bin Abdurrahman bin Abu Bakr Ash-Siddiq']","""A person who drinks from silver does nothing but drink the fire of Hell into his stomach.""","Malik mengabarkan kepada kami dari Nafi, dari Zaid bin Abdullah bin Umar, dari Abdullah bin Abdurrahman bin Abu Bakar Ash-Shiddiq, dari Ummu Salamah radliyallahu 'anha bahwa Nabi shallallahu 'alaihi wa sallam pernah bersabda:

""Orang yang minum dari perak tiada lain hanyalah menegukkan api neraka Jahanam ke dalam perutnya."" ",“Orang yang minum perak tidak berbuat apa-apa selain meminum api neraka ke dalam perutnya.”
23,musnad_syafii,"['Ibn Uyainah', 'Abu Salamah', 'Abu Hurairah']","""When one of you wakes up from sleep, let him not immediately put his hands into a container before washing them three times, because in fact he does not know where his hands were last night.""","Ibnu Uyainah mengabarkan kepada kami dari Az-Zuhri, dari Abu Salamah, dari Abu Hurairah radliyallahu 'anhu bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila seseorang di antara kalian bangun dari tidurnya. Janganlah ia langsung memasukkan tangannya ke dalam wadah sebelum mencucinya sebanyak tiga kali, karena sesungguhnya ia tidak mengetahui di manakah tangannya semalam berada."" ","“Apabila salah seorang di antara kalian terbangun dari tidurnya, janganlah ia langsung memasukkan tangannya ke dalam wadah sebelum dicuci sebanyak tiga kali, karena sesungguhnya ia tidak mengetahui di mana tangannya tadi malam.”"
24,musnad_syafii,"['Malik', 'Ibn Uyainah', 'Abu Az-Zinad', ""Al A'raj"", 'Abu Hurairah']","""When one of you wakes up from sleep, he should wash his hands before putting them in water for his ablution, because indeed one of you does not know where his hands were last night.""","Malik dan Ibnu Uyainah mengabarkan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah radliyallahu 'anhu, dari Nabi shallallahu 'alaihi wa sallam yang telah bersabda:

""Apabila seseorang di antara kalian bangun dari tidurnya, hendaklah mencuci tangannya sebelum memasukkannya ke dalam air untuk wudhunya, karena sesungguhnya seseorang di antara kalian tidak mengetahui di mana semalam tangannya berada."" ","“Jika salah satu dari kalian terbangun dari tidurnya, hendaknya ia mencuci tangannya terlebih dahulu sebelum memasukkannya ke dalam air untuk berwudhu, karena sesungguhnya salah satu dari kalian tidak mengetahui dimana tangannya tadi malam.”"
25,musnad_syafii,['Anas bin Malik'],"""In the past, the companions of Rasulullah sallallaahu 'alaihi wa sallam waited for the Isha prayer, then they fell asleep - I suspect he said -, sitting up until they hit their heads, then they prayed without performing ablution again.""","Orang yang terpercaya mengabarkan kepada kami dari maid, dari Anas bin Malik radliyallahu 'anhu, ia berkata:

""Dahulu para sahabat Rasulullah shallallahu 'alaihi wa sallam menunggu shalat Isya, lalu mereka tertidur -aku menduganya mengatakan-, dalam keadaan duduk hingga kepala mereka terantuk-antuk, kemudian mereka shalat tanpa berwudhu lagi."" ","“Dahulu para sahabat Rasulullah Shallallahu ‘alaihi wa sallam menunggu salat Isya, lalu mereka tertidur – saya curiga katanya –, duduk hingga kepala terbentur, lalu mereka salat tanpa berwudhu lagi.”"
26,musnad_syafii,"['Malik', 'Nafi', 'Ibn Umar']"," he once slept while sitting, then prayed without performing ablution again.","Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar: Bahwa ia pemah tidur sambil duduk, kemudian shalat tanpa berwudhu lagi. ","dia pernah tidur sambil duduk, lalu shalat tanpa berwudhu lagi."
27,musnad_syafii,"['Malik', 'Ibn Shihab', 'Salim']","""A man's kiss to his wife or touching her with his hands is included in the meaning of mulaamah (touching each other), so whoever kisses his wife or touches her with his hands is obliged to perform ablution.""","Malik mengabarkan kepada kami dari Ibnu Syihab, dari Salim, dari ayahnya, ia berkata,

""Ciuman seorang laki-laki kepada istrinya atau rabaan dengan tangannya termasuk dalam pengertian mulaamah (saling bersentuhan), maka barangsiapa yang mencium istrinya atau merabanya dengan tangan, wajib melakukan wudhu."" ","“Mencium istri atau menyentuhnya dengan tangan seorang laki-laki termasuk dalam makna mulaamah (saling menyentuh), maka barangsiapa mencium istrinya atau menyentuhnya dengan tangan, maka wajib berwudhu.”"
28,musnad_syafii,"['Sufyan', 'Abbad bin Tamim', 'Abdullah bin Zaid']","A man complained to the Prophet sallallaahu 'alaihi wa sallam that he felt something during his prayer, so he replied: ""Don't let him come out (of his prayer) before hearing the sound (of fart) or smelling it.""","Sufyan menceritakan kepada kami, Az-Zuhri menceritakan kepada kami, Abbad bin Tamim mengabarkan kepadaku dari pamannya -yaitu Abdullah bin Zaid- ia berkata,

Seorang lelaki mengadu kepada Rasulullah shallallahu 'alaihi wa sallam bahwa seakan-akan ia merasakan sesuatu dalam shalatnya, maka beliau menjawab: ""Janganlah ia keluar (dari shalatnya) sebelum mendengar suara (kentut) atau mencium baunya."" ","Seorang laki-laki mengadu kepada Nabi Shallallahu 'alaihi wa sallam bahwa ia merasakan sesuatu saat shalat, maka beliau menjawab: “Jangan sampai dia keluar (dari shalatnya) sebelum mendengar suara (kentut) atau menciumnya.”"
29,musnad_syafii,"['Ibrahim bin Muhammad', 'Abu Bakr bin Umar bin Abdurrahman bin Abdullah bin Umar bin Al Khaththab', 'Nafi', 'Ibn', 'Umar']","There was a man who met the Prophet sallallaahu 'alaihi wa sallam when he was urinating. The man greeted him, then he answered (his) greeting. When the man left, the Prophet sallallaahu 'alaihi wa sallam called him and said: ""Indeed, the thing that prompted me to answer your greeting was only because I was worried that you would leave, then you said, 'I have greeted the Messenger of Allah, but he did not want to answer my greeting'. Therefore, if you see me in a condition like this, do not greet me. In fact, if you do that, I will definitely not answer your greetings.""","Ibrahim bin Muhammad mengabarkan kepada kami, Abu Bakar bin Umar bin Abdurrahman bin Abdullah bin Umar bin Al Khaththab mengabarkan kepadaku dari Nafi', dari Ibnu 'Umar: Bahwa

Ada seorang lelaki berjumpa dengan Nabi shallallahu 'alaihi wa sallam ketika beliau sedang buang air kecil. Lelaki itu memberi salam kepada beliau, lalu beliau menjawab salam(nya). Ketika lelaki itu berlalu, Nabi shallallahu 'alaihi wa sallam memanggilnya lalu bersabda: ""Sesungguhnya hal yang mendorongku untuk menjawab salammu hanyalah karena khawatir bila engkau pergi, lalu engkau mengatakan, 'Aku telah mengucapkan salam kepada Rasulullah, tetapi beliau tidak mau menjawab salamku'. Untuk itu, apabila engkau melihatku dalam keadaan seperti ini, janganlah engkau mengucapkan salam kepadaku. Sesungguhnya jika engkau melakukan hal itu, niscaya aku tidak akan menjawab salammu."" ","Ada seorang laki-laki yang bertemu Nabi Shallallahu 'alaihi wa sallam ketika sedang buang air kecil. Laki-laki itu memberi salam, kemudian dia menjawab salam (nya). Ketika laki-laki itu pergi, Rasulullah Shallallahu ‘alaihi wa sallam memanggilnya dan berkata: “Sesungguhnya yang membuatku menjawab salammu hanyalah karena aku khawatir kamu akan pergi, lalu kamu berkata, ‘Aku telah menyapa Rasulullah. Ya Allah, tetapi dia tidak mau menjawab salamku'. Oleh karena itu, jika kamu melihatku dalam keadaan seperti ini, janganlah kamu menyapaku. Padahal, jika kamu melakukan itu, aku pasti tidak akan menjawab salammu."""
30,musnad_syafii,"['Ibrahim bin Muhammad', ""Al A'raj"", 'Ibn Ash-Shammah']","I once met the Prophet sallallaahu 'alaihi wa sallam who at that time was urinating. So I greeted him, but he did not answer my greeting. Then he stood near the wall, he scraped the wall with the stick he had, then put his hand on the wall and wiped his face and his two hands. The Prophet then answered my greeting.

Abu Al Abbas Al Asham said, ""These two hadiths are not in the discussion about ablution, but I explained them in the discussion because that is where they should be."" Ash-Shafi'i said, ""And it has been narrated by Abu Al Huwairits from Al A'raj from Ibn Ash Shummah: That Rasulullah shallallahu 'alaihi wa sallam once urinated and then tayammum, then I explained the hadith completely for this reason.","Ibrahim bin Muhammad mengabarkan kepada kami dari Abu Al Huwairits, dari Al A'raj dari Ibnu Ash-Shammah, ia berkata

Aku pernah berjumpa dengan Nabi shallallahu 'alaihi wa sallam yang pada saat itu sedang buang air kecil. Maka aku memberi salam kepadanya, tetapi beliau tidak menjawab salamku. Lalu beliau berdiri di dekat tembok, maka tembok itu dikeriknya dengan tongkat yang ada padanya, kemudian meletakkan tangannya pada tembok dan mengusap wajah serta kedua hastanya, Nabi kemudian menjawab salamku. 

Abu Al Abbas Al Asham  berkata, ""Dua hadis ini tidak dalam pembahasan tentang wudhu, adapun aku memaparkan dalam pembahasan tersebut karena disitulah mestinya keduanya ada."" Asy-Syafi'i  berkata, ""Dan telah diriwayatkan oleh Abu Al Huwairits dari Al A'raj dari Ibnu Ash Shummah: Bahwa Rasulullah shallallahu 'alaihi wa sallam pernah buang air kecil lalu tayammum, lalu aku memaparkan hadis dengan lengkap karena sebab ini.","Saya pernah bertemu dengan Nabi Shallallahu 'alaihi wa sallam yang saat itu sedang buang air kecil. Maka aku pun memberi salam padanya, namun dia tidak menjawab salamku. Kemudian dia berdiri di dekat tembok, dia menggores tembok itu dengan tongkat yang dimilikinya, lalu meletakkan tangannya di tembok dan mengusap wajah dan kedua tangannya. Nabi lalu menjawab salamku.

Abu Al Abbas Al Asham berkata, “Kedua hadits ini tidak ada dalam pembahasan tentang wudhu, namun saya menjelaskannya dalam pembahasan karena disitulah seharusnya.” Asy-Syafi’i berkata, “Dan telah diriwayatkan oleh Abu Al Huwairits dari Al A’raj dari Ibnu Ash Shummah: Bahwa Rasulullah Shallallahu ‘alaihi wa sallam satu kali buang air kecil kemudian tayammum, maka hadits tersebut saya jelaskan secara lengkap karena alasan tersebut."
